Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age_all,[All],1.00000000,0.39062500,4.28200130,3.09080794,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Male,Age_all,[All],2.00000000,0.85836910,11.67718068,6.69433659,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Male,Age_all,[All],2.00000000,1.03626943,8.29588700,6.68114248,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age_all,[All],1.00000000,0.23529412,2.13719862,1.55108498,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age_all,[All],3.00000000,0.72289157,6.31889288,4.83808541,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Male,Age_all,[All],1.00000000,0.46296296,4.70075758,3.21357414,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age_all,[All],2.00000000,0.49504950,4.34181378,3.19856704,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Female,Age_all,[All],1.00000000,0.50251256,7.02222222,3.10375865,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age_all,[All],2.00000000,0.55096419,3.72142701,3.23776529,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age_all,[All],1.00000000,0.22172949,1.48356808,1.36567246,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age_all,[All],1.00000000,0.47619048,2.74782609,2.58524857,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age_all,[All],1.00000000,0.22321429,0.00000000,1.48800667,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,All,Age_all,[All],1.00000000,0.20000000,1.28186969,1.33915419,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Female,Age_all,[All],1.00000000,0.43668122,2.25124378,2.52876470,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,All,Age_all,[All],1.00000000,0.21097046,1.19415575,1.20913136,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Female,Age_all,[All],1.00000000,0.42918455,2.24398528,2.30409438,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age_all,[All],1.00000000,0.20661157,1.14267677,1.19010782,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Male,Age_all,[All],1.00000000,0.37735849,2.71771772,2.49893795,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age_all,[All],6.00000000,2.64317181,65.30904762,22.98850575,
